Datums;TestuSkaits;ApstiprinataCOVID19InfekcijaSkaits;Ipatsvars;IzarstetoPacientuSkaits;MirusoPersonuSkaits;ApstiprinatiVecGr_0-9Gadi;ApstiprinatiVecGr_10-19Gadi;ApstiprinatiVecGr_20-29Gadi;ApstiprinatiVecGr_30-39Gadi;ApstiprinatiVecGr_40-49Gadi;ApstiprinatiVecGr_50-59Gadi;ApstiprinatiVecGr_60-69Gadi;ApstiprinatiVecGr_70GadiUnVairak;ApstiprinatiVecGr_70-79Gadi;ApstiprinatiVecGr_80GadiUnVairak;IzveselojusosSkaits;14DienuKumulativaSaslimstibaUz100000Iedzivotaju;ApstCOVID19InfSk_NevakcVakcNepab;ApstCOVID19InfSk_Vakc;Population
2020.02.29.;116;0;0;0;0;...;...;...;...;...;...;...;...;...;…;;0;...;…;1934379
2020.03.01.;10;0;0;0;0;...;...;...;...;...;...;...;...;...;...;;0;...;…;1934379
2020.03.02.;37;0;0;0;0;...;...;...;...;...;...;...;...;...;...;;0;...;…;1934379
2020.03.03.;41;1;2.4;0;0;...;...;...;...;...;...;...;...;...;...;0;0;...;…;1934379
2020.03.04.;36;0;0;1;0;...;...;...;...;...;...;...;...;...;...;1;0;...;…;1934379
2020.03.05.;35;0;0;0;0;...;...;...;...;...;...;...;...;...;...;1;0;...;…;1934379
2020.03.06.;32;0;0;0;0;...;...;...;...;...;...;...;...;...;...;1;0;...;…;1934379
2020.03.07.;14;0;0;0;0;...;...;...;...;...;...;...;...;...;...;1;0;...;…;1934379
2020.03.08.;22;2;9.1;0;0;...;...;...;...;...;...;...;...;...;...;1;0;...;…;1934379
2020.03.09.;48;3;6.3;0;0;...;...;...;...;...;...;...;...;...;...;1;0;...;…;1934379
2020.03.10.;59;2;3.4;0;0;...;...;...;...;...;...;...;...;...;...;1;0;...;…;1934379
2020.03.11.;47;2;4.3;0;0;...;...;...;...;...;...;...;...;...;...;1;0;...;…;1934379
2020.03.12.;79;6;7.6;0;0;...;...;...;...;...;...;...;...;...;...;1;0;...;…;1934379
2020.03.13.;127;1;0.8;0;0;...;...;...;...;...;...;...;...;...;...;1;0;...;…;1934379
2020.03.14.;316;9;2.8;0;0;...;...;...;...;...;...;...;...;...;...;1;0;...;…;1934379
2020.03.15.;334;4;1.2;0;0;...;...;...;...;...;...;...;...;...;...;1;0;...;…;1934379
2020.03.16.;351;4;1.1;0;0;...;...;...;...;...;...;...;...;...;...;1;1.8;...;…;1934379
2020.03.17.;495;26;5.3;0;0;...;...;...;...;...;...;...;...;...;...;1;3.1;...;…;1934379
2020.03.18.;755;11;1.5;0;0;...;...;...;...;...;...;...;...;...;...;1;3.6;...;…;1934379
2020.03.19.;720;15;2.1;0;0;1;1;4;6;2;1;0;0;0;0;1;4.4;...;…;1934379
2020.03.20.;699;23;3.3;0;0;0;2;5;9;4;0;3;0;0;0;1;5.6;...;…;1934379
2020.03.21.;1389;12;0.9;0;0;0;0;0;4;3;1;3;1;1;0;1;6.3;...;…;1934379
2020.03.22.;811;15;1.8;0;0;0;2;4;3;4;1;1;0;0;0;1;6.9;...;…;1934379
2020.03.23.;1185;44;3.7;0;0;2;3;10;13;7;4;3;2;2;0;1;9.1;...;…;1934379
2020.03.24.;887;17;1.9;0;0;1;0;2;5;4;3;2;0;0;0;1;9.8;...;…;1934379
2020.03.25.;1151;24;2.1;0;0;0;1;5;9;6;1;2;0;0;0;1;11;...;…;1934379
2020.03.26.;817;23;2.8;0;0;1;0;6;7;3;3;2;1;1;0;1;11.9;...;…;1934379
2020.03.27.;1089;36;3.3;0;0;1;1;7;12;7;7;0;1;0;1;1;13.7;...;…;1934379
2020.03.28.;1046;25;2.4;0;0;0;1;3;11;3;5;0;2;1;1;1;14.5;...;…;1934379
2020.03.29.;1057;42;4;0;0;1;2;8;10;8;5;6;2;2;0;1;16.5;...;…;1934379
2020.03.30.;502;29;5.8;0;0;1;0;4;6;7;4;6;1;1;0;1;17.8;...;…;1934379
2020.03.31.;500;22;4.4;0;0;0;1;1;9;4;1;5;1;1;0;1;17.6;...;…;1934379
2020.04.01.;1003;48;4.8;0;0;0;0;1;5;7;20;12;3;2;1;1;19.5;...;…;1934379
2020.04.02.;1024;12;1.2;0;0;0;2;2;0;3;4;0;1;1;0;1;19.4;...;…;1934379
2020.04.03.;1364;35;2.6;0;1;1;1;6;4;6;10;2;5;1;4;1;20;...;…;1934379
2020.04.04.;1182;16;1.4;0;1;1;1;1;3;2;5;2;1;1;0;1;20.2;...;…;1934379
2020.04.05.;1300;24;1.8;0;0;1;0;4;6;3;2;7;1;0;1;1;20.7;...;…;1934379
2020.04.06.;773;9;1.2;0;1;0;0;2;1;1;1;1;3;3;0;1;18.9;...;…;1934379
2020.04.07.;1122;6;0.5;0;0;0;0;2;1;2;1;0;0;0;0;1;18.3;...;…;1934379
2020.04.08.;1461;29;2;0;0;0;0;1;6;8;7;4;3;2;1;16;18.5;...;…;1934379
2020.04.09.;1422;12;0.8;0;1;0;1;0;2;5;3;0;1;0;1;16;18;...;…;1934379
2020.04.10.;1198;23;1.9;0;0;0;1;4;6;1;3;3;5;3;2;16;17.3;...;…;1934379
2020.04.11.;1140;18;1.6;0;2;0;3;2;3;4;3;1;2;0;2;16;16.9;...;…;1934379
2020.04.12.;418;21;5;0;1;0;0;6;0;4;1;2;8;6;2;16;15.8;...;…;1934379
2020.04.13.;562;2;0.4;0;0;0;0;0;0;1;0;0;1;0;1;16;14.4;...;…;1934379
2020.04.14.;242;4;1.7;0;0;0;0;0;0;0;0;2;2;2;0;16;13.5;...;…;1934379
2020.04.15.;878;9;1;0;0;2;0;1;0;3;1;1;1;1;0;16;11.5;...;…;1934379
2020.04.16.;1406;9;0.6;0;0;0;1;2;1;1;2;2;0;0;0;16;11.3;...;…;1934379
2020.04.17.;1535;7;0.5;87;1;0;0;0;0;1;1;1;4;3;1;88;9.8;...;…;1934379
2020.04.18.;1860;30;1.6;0;0;0;1;1;2;2;14;8;2;1;1;88;10.6;...;…;1934379
2020.04.19.;1184;15;1.3;0;0;0;1;1;2;2;3;4;2;1;1;88;10.1;...;…;1934379
2020.04.20.;787;12;1.5;0;0;0;3;0;2;1;3;2;1;1;0;88;10.3;...;…;1934379
2020.04.21.;1304;9;0.7;45;3;0;0;1;2;1;2;1;2;2;0;133;10.4;...;…;1934379
2020.04.22.;1364;13;1;0;0;0;0;0;3;2;4;1;3;3;0;133;9.6;...;…;1934379
2020.04.23.;1705;17;1;0;0;3;4;3;0;3;2;2;0;0;0;133;9.8;...;…;1934379
2020.04.24.;2039;6;0.3;134;1;0;0;1;1;1;1;0;2;2;0;267;9;...;…;1934379
2020.04.25.;2663;20;0.8;0;0;0;3;2;3;3;2;3;4;2;2;267;9.1;...;…;1934379
2020.04.26.;1874;8;0.4;0;1;0;0;0;0;2;3;1;2;1;1;267;8.4;...;…;1934379
2020.04.27.;1564;6;0.4;0;0;0;0;1;0;1;2;0;2;1;1;267;8.6;...;…;1934379
2020.04.28.;2380;18;0.8;0;2;0;0;2;3;8;3;2;0;0;0;267;9.3;...;…;1934379
2020.04.29.;3250;13;0.4;81;0;0;0;3;1;4;1;1;3;2;1;348;9.5;...;…;1934379
2020.04.30.;3075;9;0.3;0;1;0;0;1;2;2;2;1;1;0;1;348;9.5;...;…;1934379
2020.05.01.;3234;12;0.4;0;0;0;0;0;2;4;2;3;1;1;0;348;9.8;...;…;1934379
2020.05.02.;1982;1;0.1;0;1;0;0;0;0;0;1;0;0;0;0;348;8.3;...;…;1934379
2020.05.03.;1143;8;0.7;0;0;0;0;3;0;0;0;1;4;1;3;348;7.9;...;…;1934379
2020.05.04.;1219;17;1.4;0;1;0;0;0;1;1;4;6;5;1;4;348;8.2;...;…;1934379
2020.05.05.;686;0;0;0;0;0;0;0;0;0;0;0;0;0;0;348;7.7;...;…;1934379
2020.05.06.;2477;4;0.2;116;0;0;0;1;0;2;0;0;1;0;1;464;7.2;...;…;1934379
2020.05.07.;2442;9;0.4;0;0;0;0;1;0;4;3;1;0;0;0;464;6.8;...;…;1934379
2020.05.08.;1947;19;1;0;0;1;1;2;3;6;3;0;3;0;3;464;7.5;...;…;1934379
2020.05.09.;2555;2;0.1;0;0;0;0;0;1;0;0;0;1;1;0;464;6.6;...;…;1934379
2020.05.10.;1021;9;0.9;0;0;0;2;0;1;0;0;4;2;0;2;464;6.6;...;…;1934379
2020.05.11.;555;7;1.3;0;0;0;0;0;1;1;0;4;1;1;0;464;6.7;...;…;1934379
2020.05.12.;1900;4;0.2;163;1;0;1;0;1;1;0;0;1;0;1;627;5.9;...;…;1934379
2020.05.13.;2199;1;0.05;0;0;0;0;1;0;0;0;0;0;0;0;627;5.3;...;…;1934379
2020.05.14.;2029;11;0.5;0;0;0;0;3;1;2;0;1;4;2;2;627;5.4;...;…;1934379
2020.05.15.;2156;8;0.4;35;0;0;0;1;2;0;1;0;4;3;1;662;5.2;...;…;1934379
2020.05.16.;1946;27;1.4;0;0;1;1;0;2;1;6;2;14;5;9;662;6.6;...;…;1934379
2020.05.17.;1028;11;1.1;0;1;0;0;0;1;2;1;4;3;2;1;662;6.7;...;…;1934379
2020.05.18.;718;1;0.1;0;1;0;0;0;0;0;0;0;1;0;1;694;5.9;...;…;1934379
2020.05.19.;1845;3;0.2;32;0;0;0;0;0;1;0;1;1;0;1;694;6;...;…;1934379
2020.05.20.;1783;4;0.2;0;0;0;0;1;0;1;0;1;1;1;0;694;6;...;…;1934379
2020.05.21.;1870;9;0.5;0;1;1;0;1;2;1;2;0;2;1;1;694;6;...;…;1934379
2020.05.22.;1745;5;0.3;18;0;0;0;2;1;1;1;0;0;0;0;712;5.3;...;…;1934379
2020.05.23.;1480;16;1.1;0;0;0;0;1;2;2;2;2;7;0;7;712;6;...;…;1934379
2020.05.24.;1203;1;0.1;0;1;0;0;1;0;0;0;0;0;0;0;712;5.6;...;…;1934379
2020.05.25.;721;2;0.3;0;0;0;0;1;0;0;0;1;0;0;0;712;5.4;...;…;1934379
2020.05.26.;1828;4;0.2;29;0;0;0;1;1;0;1;1;0;0;0;741;5.4;...;…;1934379
2020.05.27.;1955;4;0.2;0;1;0;1;0;1;0;0;1;1;0;1;741;5.5;...;…;1934379
2020.05.28.;1951;4;0.2;0;0;0;1;0;0;0;1;1;1;0;1;741;5.2;...;…;1934379
2020.05.29.;1427;3;0.2;4;0;0;0;1;0;1;0;1;0;0;0;745;4.9;...;…;1934379
2020.05.30.;1243;1;0.1;0;0;0;0;1;0;0;0;0;0;0;0;745;3.5;...;…;1934379
2020.05.31.;897;1;0.1;0;1;0;0;0;1;0;0;0;0;0;0;745;3;...;…;1934379
2020.06.01.;652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;745;3;...;…;1934379
2020.06.02.;1681;5;0.3;15;0;0;0;1;0;0;2;0;2;2;0;760;3.1;...;…;1934379
2020.06.03.;1561;8;0.5;0;0;0;0;1;0;4;0;1;2;2;0;760;3.3;...;…;1934379
2020.06.04.;1486;3;0.2;0;0;0;0;0;2;1;0;0;0;0;0;760;3;...;…;1934379
2020.06.05.;1010;3;0.3;21;0;0;1;0;0;2;0;0;0;0;0;781;2.9;...;…;1934379
2020.06.06.;1074;1;0.1;0;0;0;0;0;1;0;0;0;0;0;0;781;2.1;...;…;1934379
2020.06.07.;1125;2;0.2;0;0;0;0;1;0;0;0;0;1;1;0;781;2.1;...;…;1934379
2020.06.08.;662;0;0;0;1;0;0;0;0;0;0;0;0;0;0;781;2;...;…;1934379
2020.06.09.;1730;1;0.1;13;0;0;0;0;0;1;0;0;0;0;0;794;1.9;...;…;1934379
2020.06.10.;1731;3;0.2;0;0;0;0;0;1;1;0;0;1;1;0;794;1.8;...;…;1934379
2020.06.11.;1581;2;0.1;24;0;0;0;1;1;0;0;0;0;0;0;818;1.7;...;…;1934379
2020.06.12.;1298;2;0.2;0;2;0;0;0;0;2;0;0;0;0;0;818;1.7;...;…;1934379
2020.06.13.;1392;1;0.1;27;0;0;0;0;0;1;0;0;0;0;0;845;1.7;...;…;1934379
2020.06.14.;1396;0;0;0;0;0;0;0;0;0;0;0;0;0;0;845;1.6;...;…;1934379
2020.06.15.;695;0;0;0;0;0;0;0;0;0;0;0;0;0;0;845;1.6;...;…;1934379
2020.06.16.;1691;1;0.1;30;2;0;0;0;0;0;1;0;0;0;0;875;1.4;...;…;1934379
2020.06.17.;1810;6;0.3;0;0;1;1;0;1;2;1;0;0;0;0;875;1.3;...;…;1934379
2020.06.18.;1911;4;0.2;28;0;1;0;0;1;0;1;1;0;0;0;903;1.4;...;…;1934379
2020.06.19.;1324;2;0.1;0;0;0;0;0;0;0;2;0;0;0;0;903;1.3;...;…;1934379
